Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
ths,978.7226515608749,5.834165887874413,0.17090195619981804,34.13750209537171,2.049569749263475e-255,1.8790455461247538e-251,1964.1004268517,1946.125207176217,1861.2573449393287,47.926780062217254,24.99441059251694,27.931739743269144
spz,861.1780270077423,3.324133042912793,0.1275857020633492,26.054118832706546,1.208270256011155e-149,5.5387108535551344e-146,1801.5093319136454,1417.2585176758528,1479.2871065729091,159.7559335407242,145.6570824184608,163.60018992486212
kon,505.5598529544569,5.019121034848937,0.19809704874274617,25.336677485624204,1.2602233476754496e-141,3.851242550496174e-138,1005.4633310969298,1133.285763215066,804.6236973872508,32.83871967225997,36.198801547783155,20.948804807451857
CG4393,358.9461205372667,4.189841870473841,0.17924628471892445,23.374776649033027,7.717062263491742e-121,1.768750670792307e-117,607.4403306885721,714.7081863034477,719.8669876905601,45.26418116987185,34.47504909312681,31.921988278021878
dysf,427.6144384274141,3.620677931398589,0.15689516299483539,23.077052614539642,7.8724016472495285e-118,1.4434835660396735e-114,740.1146641580247,733.8133869093723,899.5512122475445,70.11510416509562,67.22634573159728,54.865917352850104
dysc,273.4804476176406,4.503462754567076,0.2051810639847586,21.94872502903877,8.906436592731691e-107,1.3609035113694024e-103,528.0958763588014,527.1298530816438,516.4508844185023,24.850922995223762,22.408781910532426,21.94636694114004
bbg,870.7730682648639,2.3094314119011865,0.10848321684834991,21.288375096118052,1.4548534331718976e-100,1.9054423250457083e-97,1424.2979916573586,1411.1795902103313,1510.9296115263403,283.12301555272785,268.9053829263891,326.20281771603607
Sema2b,825.4787186287318,2.8192973165699673,0.1352069202219319,20.85172350603286,1.470301557136061e-96,1.6849655844779259e-93,1329.3447922135347,1296.5483865747844,1713.2156253357757,189.93205432063874,235.2922100605905,188.53924326706672
ImpL2,531.1609996327938,2.591510671829544,0.12604238902476142,20.560627990956547,6.182767695683067e-94,6.298179359335817e-91,972.9451121093189,942.2337571558212,818.1847709387214,155.3182687201485,145.6570824184608,152.62700645429211
Ac3,350.1639226235684,2.990756134890242,0.14783273205531453,20.230676206208457,5.257699570893256e-91,4.8202589665949365e-88,606.1396019290677,671.2872758354376,588.7766100263451,72.77770305744102,86.18762273281703,75.81472216030195
bru3,242.88868210175073,3.955207630443701,0.20456909757789102,19.334335817450285,2.762015292006298e-83,2.302014199737613e-80,375.9106114967823,500.20888859147743,492.7190057034289,28.401054851684297,30.16566795648596,29.92686401064551
Arc1,905.5635733711267,2.592873321263443,0.1413988187055493,18.337305396184924,4.169584411496564e-75,3.1855624903833747e-72,1874.3501424458939,1239.232784757011,1548.2225637928843,284.8980814809581,235.2922100605905,251.3856576894223
Patr-1,330.9855054183158,-2.64176100732065,0.14860261247720363,-17.77735238487755,1.0586255059438284e-70,7.465752798840784e-68,92.35174192481503,82.49972988921937,100.57796217340635,531.6322455049655,578.3189485372022,600.5324044802866
GLS,768.4337820038186,2.0909985395069786,0.11826712835461138,17.680301945248406,5.947682968925667e-70,3.894882675650751e-67,1329.3447922135347,1199.2855471264415,1206.9355460808763,336.3749933996359,285.2810312456244,253.38078195679864
unc-5,295.4688635384565,2.8573829077361292,0.16420696983964467,17.401106119469162,8.092505710478919e-68,4.946139490244715e-65,459.1572521050663,529.7351077097244,569.5650891617619,67.4525052727502,87.0494989601452,59.85372802129102
MRP,1717.0450487377454,1.6352219368498924,0.09418644208317711,17.36154270914926,1.613295799796119e-67,9.244184932831762e-65,2626.1713654394584,2397.702676043523,2770.979362350476,864.4571070481409,842.9149503269506,800.0448312179233
Coq9,357.4089911623967,2.4856607032458413,0.14592353928986596,17.03399407211654,4.595761472794427e-65,2.478467128387018e-62,675.0782261828028,601.8138190866213,543.5730315214433,103.84135680147071,122.38642428060018,97.761089101442
CG5830,1708.1090086882289,1.7482288878890304,0.10300750150866457,16.971859935288077,1.3266288554953972e-64,6.756962970656556e-62,2879.8134735428234,2305.650345851341,2713.3447997567264,769.4910798878215,765.3460898674152,815.0082632232461
CG11155,248.98891512541496,-3.687398155992074,0.21886670986137122,-16.847688523885832,1.0909612501414315e-63,5.264175126998234e-61,40.32259154463755,25.18412807144591,44.07348904227919,363.88851528720505,462.82753407522745,557.6372327316947
CG1941,155.67626424182814,4.34734428449631,0.2584861308151632,16.81848179160136,1.7867916609743911e-63,8.190652973906609e-61,308.2727160025516,318.7094828351948,263.3108447910526,12.425461497611881,16.375648319235236,14.963432005322755
PlexB,324.0417839191251,-2.4330623040469423,0.14507732301544587,-16.77079679632566,3.9912060543504264e-63,1.7424465288707005e-60,98.85538572233722,100.73651228578365,103.96823056127398,508.556388437972,545.5676518987318,586.566534608652
drpr,890.2173254439651,1.8286690281983795,0.10911517950570201,16.75907088713371,4.861621801635358e-63,2.025970394426953e-60,1473.7256845185273,1410.311172000971,1284.9117190018317,427.7908887034947,390.42993097966115,354.1345574593052
CG15784,1587.3372697191467,2.1372135495559186,0.12759950788911575,16.74938708551417,5.721269154307221e-63,2.2805476350734174e-60,3090.5315325825422,2182.334960122192,2487.3269072322178,579.5590255671827,524.8826224428557,659.3885703678894
rdog,165.58794213844087,3.5968231767248957,0.21518323458889294,16.715164560085817,1.0163901149640833e-62,3.8826102391627983e-60,296.5661571670116,322.1831556726356,298.3436181323514,23.963390031108627,21.54690568320426,30.924426144333694
tinc,185.12692529060573,3.693391713203874,0.22431047434030923,16.465533872486493,6.488763886993662e-61,2.379559492638316e-58,286.1603270909761,369.07773897808664,376.3197910533069,36.38885152872051,25.85628681984511,16.958556272699123
Lsp1gamma,191.73894695701208,3.7849837970926563,0.23272838068421775,16.26352482651606,1.791294927719048e-59,6.316381498972398e-57,364.2040526612424,410.76181302737643,298.3436181323514,38.16391745695078,24.99441059251694,13.965869871634572
Cul2,1070.6652943401248,1.6710962890802024,0.10384271664369306,16.092570987083256,2.876404177953567e-58,9.766990186473445e-56,1802.8100606731498,1548.3896672892436,1539.181848091904,509.4439214020871,534.3632609434655,489.80300764089816
CG8108,695.091406588718,-1.7466504035763095,0.10943343400256088,-15.96084797572409,2.3945576901227532e-57,7.84046603680193e-55,308.2727160025516,308.28846432287236,341.2870177120081,1017.112776875944,1128.195981572575,1067.3914830463566
