Symbol,baseMean,log2FoldChange,padj
Patr-1,330.9855054183158,-2.64176100732065,7.465752798840784e-68
CG11155,248.98891512541496,-3.687398155992074,5.264175126998234e-61
PlexB,324.0417839191251,-2.4330623040469423,1.7424465288707005e-60
CG8108,695.091406588718,-1.7466504035763095,7.84046603680193e-55
CG32091,524.7751728915491,-1.8749856119735195,1.5032458990875817e-52
CG7470,202.17556489587386,-2.823408597348011,2.401037527427932e-49
Wsck,276.50117916130483,-2.2817086012859664,2.014753163884635e-45
Cyp6a9,125.98313460350339,-3.873337166853757,2.3885765187190214e-42
CG13375,134.4148078383389,-5.529366342912129,4.0064811524969166e-42
PCB,272.3388800304228,-2.052075615268839,1.5271061768928705e-41
CG18135,345.67043057054104,-1.87424316118564,2.0395686845230347e-39
CG32521,358.0612106816136,-1.7085474396226665,4.392854726761692e-37
CG9005,342.75602741020293,-1.777902434293597,1.7432778807023196e-36
sick,301.0006319397445,-2.108782437728109,2.8056047554471542e-36
Tmhs,235.92304123921895,-2.1289581622589435,1.2261125916279652e-35
sol,504.4212565235867,-1.5792259207314565,4.761879478782787e-34
CG7992,155.18351597480265,-2.4980842537252563,3.8992732373718054e-33
boi,709.1596129369691,-1.342374932563782,1.4648879886014122e-31
GILT1,128.35218109989188,-2.63977374201674,5.037438923709482e-31
pyd3,85.18804213944584,-4.752421738810569,6.610005181097794e-31
Exn,506.78623445923256,-1.8331180446847173,2.1737243258837922e-30
stx,741.124127361385,-1.276692675378716,2.77028359941555e-30
Tob,203.27673330042933,-1.9395370679311124,1.1040968522206218e-29
Rbfox1,721.0355015799622,-1.583003468703911,1.4200943821906332e-29
Tina-1,203.6119716718788,-1.856238206349522,5.97166069142503e-29
CG2201,406.88815509154693,-1.6170215781545552,7.232253515367847e-29
Dab,217.66882287203012,-1.9086711407539219,1.9937679941058053e-28
CG34347,811.6371617253118,-1.3553882962332167,3.2498915353598043e-28
l(1)G0193,317.19136325851946,-1.8510456411878329,1.719469600616307e-27
Kank,368.709937401153,-1.400049713098963,5.81699727268673e-27
sdk,498.56794989692247,-1.394480174928535,6.391561616333585e-27
mnd,125.97979909339297,-2.3748295786158695,1.1991117791774111e-26
CG7530,264.2462507923645,-1.6012428690092506,1.9084453861972098e-26
CG11068,109.11268024462608,-2.852372000609257,3.21229014529208e-26
CG12099,371.9523845510204,-1.4061913946785112,3.3077397012049844e-26
CG31248,91.93342705575274,-2.8307604307136205,3.515024068199757e-26
btsz,641.5052979826164,-1.34458658613093,1.1382786128004896e-25
sens-2,217.77784954050773,-1.8538928897971074,4.0860992505797605e-25
Ret,106.70048655979338,-2.4708779177866496,4.542417380155806e-25
pon,193.35888256520772,-1.7358165403684902,1.0475238121667974e-24
CG17716,89.27108845809185,-2.9247861594533444,4.314315449773203e-24
CG17855,206.8107124499011,-1.6107851753755478,1.6876800644488584e-23
GABA-B-R2,72.2545129487709,-3.136687676499625,2.0383337718255242e-23
CG3902,302.3374470152313,-1.5910296599658966,2.336986620931659e-23
Argk,188.14695205472663,-1.7579490838560015,6.088488173068526e-23
DOR,709.8296978254078,-1.0662886575868524,1.5422582929861845e-22
vri,1209.551332483945,-1.0842180605247365,1.563676483548896e-22
CG34401,1935.0132891876053,-1.2867951153094783,2.163553753143166e-22
CG13124,221.80654691683395,-1.734556024536416,2.3104960842147197e-22
CG9021,208.43014264722927,-1.6999061756578144,3.9381355041725126e-22
alpha-Est5,96.88534901398718,-2.4776794133261673,5.740201523438033e-22
CG11241,157.5004388310743,-1.761617742672867,7.695725303391004e-22
CG6966,314.7369205469986,-1.3182132808987046,2.068653042378073e-21
CG31955,62.333894984637205,-3.252773570105267,2.7672270094513023e-21
CG15309,276.7896639447038,-1.4171375123486276,3.506508395970798e-21
mld,321.0415711671945,-1.4236303551476126,3.548466281490235e-21
CG1673,96.63245275685429,-2.3915747232695503,4.498988711111988e-21
Chd1,697.2753262051115,-1.0617409270950315,7.207544170707041e-21
Paics,244.49794220997123,-1.4294941871127407,8.412680583470228e-21
gukh,134.5760344044748,-1.831209029993661,1.2945327959764685e-20
glec,167.39364073137716,-1.9703538533928815,4.2429494601933556e-20
olf186-M,159.8214954035746,-1.7981338509229734,4.609896618191608e-20
CG30287,52.139677621600114,-3.547187189238141,1.6369574550689047e-19
CG8306,112.46265533193325,-1.951667486763158,2.532425543473755e-19
CG33226,49.69060860876404,-3.8442711015151256,3.937843828245676e-19
GstT3,106.16047455332928,-2.1409154519144353,3.937843828245676e-19
Reg-5,75.80500696968598,-2.57236088400724,4.938240463225656e-19
Nrx-IV,367.95015437018304,-1.1534049797416215,6.2746846957530255e-19
E23,546.7231947749926,-1.1888783991182839,6.411712033302938e-19
Cyp9f2,89.8199031972718,-2.3036358150026985,6.852434589232271e-19
Cont,410.7113650440209,-1.2059456409339968,7.645364644417581e-19
CG6310,57.68849558306129,-3.0832093055517977,7.7698631006338135e-19
CG15629,109.03346392921208,-1.9260487545670955,9.26483932380194e-19
CG43867,167.88798107515174,-1.7123291229887847,1.180977673341883e-18
CG13907,360.58916269937015,-1.2032633573733424,1.6137894808485853e-18
Hnf4,405.0303521365089,-1.2347714761876714,1.7853851965929138e-18
del,235.0757615153927,-1.5421348495755327,2.04987968236641e-18
Parp,928.5112620519549,-1.0523713718284917,6.1864384964772355e-18
Eip55E,290.8708748071837,-1.2764315459263567,6.609223765981197e-18
Cyp6v1,75.90224134094188,-2.4442926376815683,6.609223765981197e-18
CG4297,375.8513120432993,-1.3418405627768089,7.411211281406769e-18
Mmp1,380.14502852501664,-1.3012329622490804,1.0988064452641756e-17
Tep2,1474.4145920753374,-1.0043398843154372,1.3805321460265085e-17
CG30345,428.18518601042496,-1.1305341448082393,2.256629982932535e-17
CG30283,72.79202630765029,-2.3383158795568564,2.3917384690969175e-17
Ten-m,504.6343056306519,-1.3941145634607257,3.26166056025084e-17
Adgf-A,257.34355760840106,-1.232438462390374,6.870491399692591e-17
Nhe2,432.4624740937087,-1.0945178166639198,7.127751482978465e-17
CG6287,64.3517201582084,-2.630037818274131,9.25280530929109e-17
CG5254,47.607899420847865,-3.658024863174467,1.02282194632703e-16
Atet,91.80496333085914,-2.0142480354593864,1.4841134478476747e-16
CG9527,193.74406139005015,-1.3859553059154883,1.6199295965088858e-16
Myo28B1,622.0324400378246,-1.2341069956594624,1.6473134870935966e-16
CG10512,156.1580277833065,-1.6554742314915423,1.7729697385035913e-16
CG30089,68.67229874838935,-2.663468903814875,2.5405020739941044e-16
mv,303.72308602667385,-1.137152211150202,2.6618416236972673e-16
CG33099,106.60909266841763,-1.8783658814576032,3.6819101205275604e-16
CG8066,67.90129209859333,-2.4757474489940945,4.10184571300574e-16
CG15611,334.9834500612282,-1.3699708240612047,4.152535066936304e-16
Dscam1,3826.6277439471205,-1.0145089801270932,5.931990232248838e-16
Vha100-2,461.1191041708764,-1.013173429853015,7.199002311970125e-16
CG30049,112.49995614664462,-1.8767560469780784,7.640222427027104e-16
Slip1,316.50503027263926,-1.1066351474807743,1.4395769195391825e-15
Samuel,513.4520207772918,-1.042974561270525,1.8104571126133084e-15
rau,238.8253477070138,-1.3897405011038204,2.8924805575263045e-15
CG18635,91.36121130437567,-1.993582359661393,5.322853745550581e-15
