Symbol,baseMean,log2FoldChange,padj
ths,978.7226515608749,5.834165887874413,1.8790455461247538e-251
spz,861.1780270077423,3.324133042912793,5.5387108535551344e-146
kon,505.5598529544569,5.019121034848937,3.851242550496174e-138
CG4393,358.9461205372667,4.189841870473841,1.768750670792307e-117
dysf,427.6144384274141,3.620677931398589,1.4434835660396735e-114
dysc,273.4804476176406,4.503462754567076,1.3609035113694024e-103
bbg,870.7730682648639,2.3094314119011865,1.9054423250457083e-97
Sema2b,825.4787186287318,2.8192973165699673,1.6849655844779259e-93
ImpL2,531.1609996327938,2.591510671829544,6.298179359335817e-91
Ac3,350.1639226235684,2.990756134890242,4.8202589665949365e-88
bru3,242.88868210175073,3.955207630443701,2.302014199737613e-80
Arc1,905.5635733711267,2.592873321263443,3.1855624903833747e-72
GLS,768.4337820038186,2.0909985395069786,3.894882675650751e-67
unc-5,295.4688635384565,2.8573829077361292,4.946139490244715e-65
MRP,1717.0450487377454,1.6352219368498924,9.244184932831762e-65
Coq9,357.4089911623967,2.4856607032458413,2.478467128387018e-62
CG5830,1708.1090086882289,1.7482288878890304,6.756962970656556e-62
CG1941,155.67626424182814,4.34734428449631,8.190652973906609e-61
drpr,890.2173254439651,1.8286690281983795,2.025970394426953e-60
CG15784,1587.3372697191467,2.1372135495559186,2.2805476350734174e-60
rdog,165.58794213844087,3.5968231767248957,3.8826102391627983e-60
tinc,185.12692529060573,3.693391713203874,2.379559492638316e-58
Lsp1gamma,191.73894695701208,3.7849837970926563,6.316381498972398e-57
Cul2,1070.6652943401248,1.6710962890802024,9.766990186473445e-56
CG45782,219.8371866028989,6.780606641659283,1.2042951081577674e-54
CG10433,194.23777432520052,3.130308445772301,3.9014388365887615e-54
toc,133.25749798688807,4.5860511272820865,3.6653187722136957e-53
CG31288,154.43799027465602,4.188769495787334,4.046076708991248e-53
CG13405,131.16841676241359,4.36837750777405,1.598851928216344e-51
Mmp2,123.87515165967761,4.610410520692839,1.1310406569300499e-49
CG14457,191.91332700194505,2.8338321864848175,3.5215678429165054e-49
Tsp29Fb,233.72754324413762,2.4382065786886087,2.0462835640112374e-48
InR,1645.6120921362879,1.4109141741446574,1.4262402115934664e-46
Swim,616.9383408472967,2.0965623531063025,1.6363815407394097e-46
twz,117.04492269000788,4.484443915499821,2.0325077290733025e-46
S,1730.9679055481063,1.3056445487731771,2.872392834710724e-46
bnl,132.99854641059335,3.2533534982829955,7.516005072104296e-45
kek1,119.2166905859039,3.908610146310057,1.7979832177396374e-44
AOX1,784.746070839425,1.755388672182416,6.0613583687016145e-43
cnn,1249.4332924938585,1.3385552155814464,1.8203341174185094e-40
CG42663,268.4089004227839,2.061776515545566,1.630467935433386e-39
MED20,149.9227808737994,2.8295935205334732,4.372948310389729e-39
CG42450,100.14049649548485,3.9261291210591915,5.891266700442889e-39
fry,3391.1669350592297,1.305994938941869,1.0471915613262516e-38
cd,105.22832373246236,5.596640218291336,5.835827660850628e-38
Fas3,130.80996709318552,3.0050687281941495,1.8841152934471876e-37
CG15347,322.58614174257474,1.8499684412972628,1.905827066426698e-37
bab2,145.76659963816985,2.8292135175951545,5.610909322183772e-37
FucTA,673.6143773772484,1.455688366285526,6.5016758039873424e-37
CG6830,115.59889332798784,5.4528182656418025,6.933788454876486e-37
Ugt37A3,117.12946163430539,6.106209265380177,8.861699194345852e-37
CG13659,115.55023074623989,3.00680463963336,9.276355010771579e-37
plum,1021.5538520282983,1.3560330411032522,1.1742265562027787e-36
Ptp52F,204.2627206567183,2.2676161277919764,1.7775848006112307e-36
AsnS,439.6406343461278,1.6042301595301975,1.270598444991108e-35
CG43349,128.73113304953503,2.661108522513601,2.4146112700861903e-34
Nost,175.14541825079647,2.498531939514096,3.04274643088441e-34
tau,106.53627990921673,3.1770218011483022,2.18445930155049e-33
rols,367.6982153448392,2.0319451415567658,3.668564175397037e-33
dsd,848.812458490291,1.2690728111223164,9.203696152268674e-33
Fhos,271.99260597076625,1.87983486293354,1.1047336894881989e-32
cv-2,382.9802877470039,1.479117713887204,7.307015398247433e-31
Slob,75.17253254151423,4.175226548291349,1.1490775427229108e-30
NetB,85.22801596331732,5.642661409865908,1.4803403639037376e-30
CG2909,127.17473356320562,2.3622062538996325,1.636773646277028e-30
side-V,131.48662725538907,2.4225096567632467,2.0786643248202267e-30
zormin,341.90591893438415,1.5797151911845526,8.622894354536874e-30
CG45263,93.64555997482427,6.080160140414972,9.042411769462903e-30
CG2064,169.269859230334,2.1120687044524518,1.458127200752248e-29
Myo61F,466.72378522453545,1.3350807563980795,1.7732106623324137e-29
GstD5,71.87460863663232,4.926774185735267,2.1498250038043525e-29
bt,87.66096853976659,3.1891769483458328,6.462097926731073e-29
CLIP-190,1282.1948906720245,1.0427941990417595,1.7440322137645762e-28
CG15186,448.8139688918033,1.4693146072417897,2.1260129820579607e-28
CG32549,421.3515673287722,1.3667014440363372,2.1260129820579607e-28
Lmpt,1794.8601883251647,1.2203246522576392,2.2125400844867438e-28
Traf4,457.60602469338403,1.4349817889458714,2.438417683036093e-28
cac,418.8391760232865,4.0634417108793786,6.427457962734809e-28
tor,74.5452946160839,4.226958126667758,6.9427534898813e-28
Mtl,809.7524218696163,1.276858250962113,8.952546381226431e-28
CG6330,118.20622999035311,2.6395573581934673,1.1108433702906552e-27
upd3,844.2678831581866,1.495348817990777,1.2360294571322699e-27
CG7991,244.97322521288788,1.7524955444447574,1.641361847288153e-27
form3,65.82110290608601,4.370398500142266,1.6747024579473694e-27
Col4a1,100.92625683127437,6.550894618189385,2.303754296126351e-27
tkv,1024.655271255296,1.075842622392941,2.4540052586168693e-27
CG10663,197.7875315174869,1.8694005861233225,2.5289462225580332e-27
hdly,1020.4454102642466,1.7163054749785187,1.380286776353864e-26
CG33181,70.66430213523118,3.577412955423815,1.380286776353864e-26
Rac2,782.5268601520659,1.2190883323228234,1.4929396150872933e-26
Syt4,73.95730502129652,5.73668606079479,3.298460442671463e-26
CG5399,215.62985322177252,1.7902934378590256,5.860007184468616e-26
rho-4,847.5234093367196,1.1684513113766035,9.039433712118672e-26
dpr6,66.14066539562504,3.4730269272610603,1.1628125556728706e-25
trbl,273.7147114721122,1.7632197728119638,7.817762480115392e-25
CG13300,307.0669109790886,1.7094030260784756,1.5191369445090693e-24
uzip,110.52611740151912,2.349933354091035,2.1313304731876002e-24
vkg,61.70762185918468,4.920116796560233,5.6412183385480495e-24
Men,201.40469134163072,1.6523951589269168,1.0239750098745564e-23
Ldh,226.85703227800101,1.9368092083500104,1.495335089994426e-23
jumu,805.4275854811262,1.0765481412168088,3.665968520157787e-23
Zasp52,453.2474561931443,1.316707137854644,5.384963865014067e-23
CG4751,682.5637941522066,1.132879045429617,9.663674922281735e-23
CG42541,100.55482563688906,2.4474677777344334,1.2032732551552284e-22
CG13506,1573.882285049418,1.182376033911094,1.723380569157945e-22
CG10947,52.19650570705383,4.098808621809752,2.0655526818451466e-22
CG16898,72.60375251764596,6.300324259141695,4.0292479814859794e-22
side,61.470082168625964,5.627685350889229,5.5692363433191115e-22
GstD9,117.29970130585228,2.1591253151181364,5.963657505503032e-22
CG3635,67.92856215915492,6.199706177187948,2.901012740265625e-21
CG44014,85.19401764721607,2.983488236010272,4.2426140314643854e-21
CG8661,68.31052979499992,2.828666503014171,4.2426140314643854e-21
Tak1,621.0336677840587,1.06675292170509,4.4487208386922165e-21
CG15739,110.3263462210793,2.162826241659657,4.70657982782894e-21
NTPase,514.8525745102673,1.1888096044625345,5.7526634738690206e-21
18w,295.53501068793634,1.4222079646865142,1.3904576392677424e-20
Hydr2,832.2214025593778,1.1427907555588426,2.887154538322959e-20
Syn2,52.436308666244905,4.9267877224526755,3.0684797924755486e-20
CG3008,378.17314707303564,1.3684552144875746,4.285921485757026e-20
Rab32,337.9328202428785,1.232270505705899,6.405540701056967e-20
wb,1096.4156282227214,1.2010376558530491,9.928968416017671e-20
CG42458,65.42719420511486,6.414655949018073,2.314474261968634e-19
RhoGAP100F,305.9904622786703,1.4611448516778647,2.5081270754621074e-19
LeuRS-m,416.8799136955924,1.0904177687334022,1.3612658318366343e-18
obe,655.1788255837574,1.044019682407172,2.04987968236641e-18
CG17574,190.42932151573314,1.4809977567294683,2.04987968236641e-18
Gli,112.37391646582529,2.0178997688510387,2.199858010777259e-18
CG9581,268.87876097401266,1.2821046189101561,4.817890562937515e-18
CG7099,472.1857749044235,1.0520535067118717,5.027646852160206e-18
CG12065,873.2046162463607,1.042464605597727,5.5842593490345285e-18
Ncc69,420.93721659124685,1.1734097692906151,5.865095757836841e-18
Cyp6a17,80.5051079904836,2.3721752715033495,6.624933784652047e-18
CG30496,160.3768603100174,1.628015730505817,1.799779497903894e-17
CG18547,75.80367355748619,2.2660557536825485,2.6449248729274313e-17
sog,315.06868255904254,1.1541848012815197,2.966280962846867e-17
qin,45.44394105783165,3.167240508635528,3.061144156700907e-17
