Geneid,Length,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
Myo81F,6519,0,1,2,2,0,0
CR41571,252,0,0,0,0,0,0
CR12798,184,0,0,0,0,0,0
lncRNA:CR46123,368,0,1,0,55,64,48
lncRNA:CR46122,901,0,0,0,0,0,0
CR40182,291,0,0,0,0,0,0
Pzl,6490,10,15,15,1,2,1
lncRNA:CR45220,497,0,0,0,0,0,0
spok,1767,9,6,14,3,1,5
Parp,3112,524,693,469,1281,1440,1383
Alg-2,1290,212,292,189,262,268,255
lncRNA:CR46141,407,1,1,0,1,5,1
Tim17b,961,287,377,291,336,335,318
CG41128,364,105,145,99,141,166,152
CG41099,4390,395,514,389,1014,1033,963
CG42402,5061,1,1,1,0,0,0
Gfat1,4155,60,101,69,24,26,31
lncRNA:CR41601,614,0,2,1,0,0,0
CG40198,1567,4,6,2,0,0,3
lncRNA:CR46431,305,2,1,1,0,0,0
CG12581,5461,16,32,32,0,1,0
CR33294,2235,1,1,1,0,1,2
Dsk,569,1,0,0,0,2,0
beta-Man,3247,323,427,343,713,681,645
CG14636,1485,6,3,3,15,18,8
aux,4542,638,1019,845,785,904,670
CG31516,1668,1,3,3,2,0,2
DhpD,1590,39,51,52,118,96,79
CG14641,1564,231,344,256,298,279,245
abs,1995,92,131,106,178,166,158
Gel,3376,54,72,65,167,189,159
asRNA:CR46255,620,2,3,0,5,4,0
CG14642,1414,0,2,0,2,1,1
CG34305,300,1,0,1,0,0,0
TwdlU,1074,0,1,2,0,0,0
TwdlF,1235,0,0,0,0,0,0
TwdlG,2165,0,0,2,1,0,0
CG14644,1095,0,0,1,0,0,0
TwdlV,1067,0,0,0,0,0,0
Or82a,1158,0,0,0,0,0,0
CG1092,1492,0,0,0,0,0,0
CG9766,1502,0,0,0,0,0,0
lncRNA:CR45597,385,0,0,0,0,0,0
cpx,11414,28,44,24,25,27,35
Nepl11,2182,5,4,1,3,0,2
mir-929,88,0,0,0,0,0,0
Vps24,3326,0,4,1,5,1,1
MP1,1525,0,0,0,0,0,0
asRNA:CR46140,926,0,0,0,0,0,1
Suv3,3556,250,343,274,234,262,211
Syt14,3871,5,6,4,15,5,6
CG9795,3214,151,225,170,313,329,254
CG9776,4260,666,963,852,811,895,772
Skp2,2412,176,326,229,188,233,141
CG14645,409,0,0,0,0,0,0
CG1103,1392,157,269,155,161,184,159
hkb,1567,11,8,6,5,5,5
CG1090,4026,58,112,33,23,22,12
lncRNA:CR44922,2517,3,2,3,2,1,2
Sfxn1-3,1788,81,111,98,91,84,67
Cont,4742,175,279,243,589,655,634
tub,2006,121,186,138,217,255,193
CG14646,1694,128,194,172,133,156,121
CG34112,1233,3,0,1,2,0,1
asRNA:CR46139,1082,0,3,0,1,0,2
asRNA:CR45999,1924,1,0,1,6,13,10
CG9855,1718,23,41,42,39,40,36
CG9853,1995,153,199,189,162,174,169
CG14647,1178,23,63,43,56,51,47
lncRNA:CR45187,440,1,5,3,3,5,6
lost,2691,1252,1473,1272,1982,1873,1895
CG32944,3175,19,16,11,29,33,23
CG31528,1228,2,5,8,9,9,6
srl,4642,651,971,805,1065,1229,981
CG31525,1171,28,41,26,68,71,43
eIF3a,3892,1169,1487,1396,2163,2009,1959
CG1074,1687,9,17,14,21,24,20
asRNA:CR46138,1478,1,0,0,0,0,0
CG9804,1108,2,14,2,15,9,10
asRNA:CR44134,875,0,0,0,0,0,0
CG14650,3630,461,812,688,686,771,647
CG31522,3468,207,280,231,424,462,392
asRNA:CR43629,1359,16,21,24,43,44,31
CG31523,4032,411,569,405,484,515,408
CG14651,3404,0,0,0,0,0,0
Fip1,2418,260,363,266,254,315,267
CG34357,7704,75,110,63,18,31,24
CG34425,1754,2,0,2,3,0,0
lncRNA:CR31526,632,2,3,2,0,1,0
Mur82C,1785,10,8,2,2,2,2
CG32945,706,0,0,1,2,1,0
lncRNA:CR45558,887,1,1,1,0,0,0
lncRNA:CR44317,1360,0,0,2,0,0,0
5-HT2A,5410,7,3,9,2,2,1
lncRNA:CR45673,681,0,0,0,0,0,0
CG9775,2504,271,370,284,441,450,425
sisRNA:CR46358,216,0,0,0,0,0,0
MED31,1098,126,202,163,153,159,129
slx1,1139,5,5,4,11,15,9
Dlip2,903,58,80,69,124,138,116
rpk,2536,0,0,0,0,0,0
asRNA:CR44155,1743,0,0,0,0,0,0
Karybeta3,4364,1336,1734,1535,2305,2163,2070
spartin,2242,13,25,17,38,40,35
smash,10493,3386,4458,4052,4125,3972,3541
lncRNA:CR44156,413,9,33,12,30,32,26
lncRNA:CR44157,634,16,24,8,57,62,38
CG33927,549,14,43,17,35,37,20
eIF3f1,1301,348,418,413,579,508,526
lncRNA:CR44923,811,0,0,1,0,0,0
Nep2,3136,3,4,0,2,2,3
tacc,6246,553,785,568,887,1009,857
asRNA:CR46137,409,2,2,4,6,8,9
mir-9384,60,0,0,0,1,2,1
atms,2040,153,265,232,218,257,212
CG44098,4907,6,8,7,18,22,18
CG44088,538,0,0,0,0,0,0
CG14655,2137,3,1,0,2,4,6
CG17387,3093,3,4,1,2,3,5
ctrip,11869,2963,4335,3774,3421,3626,3168
Hus1-like,1169,58,95,56,102,86,61
CG1129,2744,310,450,272,429,411,427
BBS5,1228,3,1,0,1,9,2
CG14657,3183,410,621,495,455,518,430
CG14658,603,0,0,0,0,0,0
CG14659,449,0,0,0,0,0,0
opa,2939,0,0,0,1,0,1
laf,2407,0,0,0,0,0,0
lncRNA:CR45580,871,0,0,0,0,0,0
Gnf1,3274,238,433,363,380,450,300
Cdep,18664,1612,2432,2018,1444,1452,1176
lncRNA:CR45188,1137,7,26,14,19,8,8
snRNA:U1:82Eb,164,6,5,5,3,4,5
Ubc6,2166,704,995,822,758,838,722
CG14661,1083,2,3,0,1,1,2
CG2016,1452,0,1,0,0,0,0
CG1124,1116,0,2,1,0,0,2
CG14662,2000,2,0,0,1,0,0
asRNA:CR43478,1386,0,0,0,0,0,0
lncRNA:CR43424,1525,2,1,0,0,0,0
plh,902,0,0,1,0,0,1
lncRNA:CR45585,753,1,1,0,0,0,1
lncRNA:CR46352,374,0,1,0,0,2,1
lncRNA:CR43635,687,4,10,4,2,1,0
lncRNA:CR45588,558,0,2,2,1,1,3
corto,9294,1026,1536,1356,1991,1905,1529
CG43131,451,0,4,1,0,1,0
CG12007,1853,157,171,119,171,177,179
CG12589,1893,0,0,2,0,0,0
dpr16,2922,0,0,0,0,1,0
CG12590,1290,1,0,0,0,0,0
CR46401,285,0,0,0,0,0,0
cno,13220,788,1346,1170,917,1143,926
snRNA:U4atac,160,25,28,9,24,26,30
Prosbeta2R2,1319,0,0,0,0,0,1
CG1116,1699,94,172,139,130,153,106
Sccpdh1,1734,158,262,212,244,262,227
CG14664,1404,2,2,1,0,1,1
Vps37B,1041,56,83,79,100,82,87
Kat60,2662,258,434,315,340,391,347
Mms19,3233,227,378,339,322,347,287
rtp,960,1,1,0,2,0,2
CG12163,2985,330,498,352,542,544,494
CG33293,661,3,1,3,8,5,5
asRNA:CR44019,569,6,8,7,25,12,24
CG1113,1992,0,2,0,0,3,2
CG12173,867,58,103,58,70,76,62
Hph,4296,599,851,665,868,819,700
Tim17a2,991,2,15,5,19,22,12
lncRNA:CR45793,755,16,18,13,16,13,14
CR45033,427,0,0,0,0,0,0
mtd,13741,1778,2509,2037,2999,2987,2511
CG31538,2158,22,43,38,68,62,45
Tim17b1,785,16,38,27,80,86,52
CG11999,904,62,103,105,112,92,85
CG1161,1241,138,203,147,186,173,146
Prosbeta7,1215,297,391,342,291,263,252
Cerk,2821,187,272,185,252,224,176
lncRNA:CR44103,249,0,0,0,0,0,0
CG31542,1810,0,0,0,0,0,0
CG34277,1803,0,0,0,0,0,0
RpII18,541,92,140,107,147,152,144
hd,2255,50,87,63,83,94,52
CG14667,1260,55,66,45,72,70,76
7B2,1148,11,8,5,19,21,20
kkv,5701,0,0,0,0,0,0
CG14668,948,0,0,0,0,0,1
tRNA:Arg-TCG-4-1,73,0,0,0,0,0,0
CG1172,4339,130,172,112,175,186,149
Or83a,1362,0,0,0,0,0,0
CG2663,1645,0,0,0,0,0,0
Orco,1941,0,0,0,0,0,0
CG14669,4885,2,3,0,2,4,2
CG12147,1889,0,0,0,0,0,0
PEK,4873,650,1066,804,661,609,519
RpL35A,621,481,531,471,740,667,664
POLDIP2,1675,111,154,158,122,152,118
mRpL44,1122,154,220,191,152,192,168
Snr1,1335,100,138,103,134,162,127
CG45100,1660,0,0,0,0,0,0
HDAC3,1660,0,0,0,0,0,0
Hcs,3991,136,214,174,184,202,143
ksr,5517,96,187,158,258,267,216
CG31550,3357,222,312,322,297,379,325
NKCC,3963,53,120,48,3,9,4
Nmdar1,4170,0,1,0,1,1,2
Itp-r83A,10331,567,857,649,740,747,685
CG43845,822,5,9,4,16,6,14
CG2519,5935,380,527,423,885,977,834
mia,2590,45,88,71,101,126,98
Pcmt,998,123,178,149,183,152,166
Snm1,2589,76,145,95,147,147,151
Pi4KIIalpha,3712,192,256,213,269,267,234
snoRNA:Pi4KIIalpha-a,161,8,7,6,12,8,16
asRNA:CR46136,1102,0,6,6,9,7,3
CG14671,774,68,100,74,54,62,42
CG12746,1669,59,103,86,96,102,68
CG2931,1114,57,90,73,85,77,75
Rheb,1225,153,242,166,256,309,246
CRMP,2814,9,10,5,15,20,16
CG2926,8284,942,1435,1176,1454,1635,1330
scaRNA:MeU4:25F-C137,143,0,0,0,0,0,0
Rev7,831,71,132,95,38,42,33
noi,1859,149,231,213,181,199,123
Vha26,2926,1079,1318,1178,1658,1605,1568
kra,2866,901,1109,950,1494,1500,1435
snoRNA:Psi28S-3385b,140,12,16,7,20,19,18
snoRNA:Psi28S-3385a,150,23,28,10,32,49,48
snoRNA:Psi28S-3091b,133,39,44,13,42,45,54
snoRNA:Psi28S-3091a,135,45,62,22,63,58,55
snoRNA:Psi28S-3571,144,36,57,12,54,54,73
snoRNA:Psi28S-3186,143,6,12,9,16,14,8
snoRNA:Psi28S-2442b,144,46,57,25,52,61,65
snoRNA:Psi28S-2442a,140,6,9,3,24,9,15
CG1427,1580,39,61,65,154,172,164
asl,3187,193,357,264,281,318,201
Rga,2902,238,336,293,420,471,359
asRNA:ASTR,1853,3,3,2,3,1,3
sisRNA:1,367,0,0,0,0,0,0
asRNA:CR46135,3029,5,12,3,12,15,11
Atu,2351,0,0,0,0,0,0
Spec2,1748,42,59,49,85,74,48
CG2911,1325,17,43,36,61,80,35
RpL13A,903,704,759,617,945,868,849
snoRNA:Me28S-U2134b,77,0,1,1,5,2,2
snoRNA:Me28S-U2134a,75,0,0,0,0,0,0
CG31551,4182,0,0,0,0,0,2
