source,term_id,term_name,p_value,intersection_size,intersection
GO:BP,GO:0009653,anatomical structure morphogenesis,3.999361300952435e-6,127,"ths,spz,kon,dysf,dysc,bbg,Sema2b,ImpL2,unc-5,drpr,tinc,Cul2,Mmp2,InR,S,bnl,cnn,fry,Fas3,bab2,Ptp52F,Nost,tau,rols,dsd,Fhos,cv-2,NetB,Myo61F,bt,CLIP-190,Traf4,Mtl,upd3,form3,Col4a1,tkv,Rac2,trbl,uzip,vkg,Ldh,jumu,Zasp52,CG13506,side,Tak1,18w,Syn2,wb,RhoGAP100F,Gli,sog,sc,RhoGEF64C,Fas1,hth,spn-E,unc-104,stg,Sox21b,fax,ush,pyr,loco,sls,nub,futsch,sna,hh,sff,pk,sdt,vas,net,rst,kirre,upd1,Lac,CG15721,CG17211,Inx2,Tollo,rho,Ten-a,mspo,sano,CG34353,Duox,grh,dpn,CadN2,scaf,dpr11,pdm3,Ank2,sqa,Pura,blanks,AdamTS-B,tll,piwi,Kr,bi,ltl,Cad86C,shd,ptc,if,ovo,grn,ave,Dscam3,bru1,Alk,melt,rhi,acj6,smog,tutl,chas,CG34383,sn,scro,htl,fs(1)N,salm"
GO:BP,GO:0034330,cell junction organization,3.999361300952435e-6,47,"dysc,drpr,Cul2,Mmp2,plum,Nost,Traf4,cac,tkv,Rac2,dpr6,CG13506,Syn2,RhoGAP100F,obe,Gli,mesh,unc-104,loco,lbm,futsch,sna,sff,Nrx-1,sdt,kirre,Lac,Ten-a,shakB,CG34353,Rbp,CadN2,CG10339,dpr17,Syn,Tsp2A,dpr11,Ank2,dpr15,bark,Fur1,mtg,Frq1,dpr9,htl,dpr13,mGluR"
GO:BP,GO:0009888,tissue development,5.293954030294336e-6,96,"ths,dysf,bbg,Sema2b,drpr,Cul2,toc,Mmp2,InR,S,bnl,fry,Fas3,bab2,Nost,rols,dsd,Fhos,cv-2,NetB,Myo61F,bt,Traf4,Mtl,upd3,form3,Col4a1,tkv,Rac2,vkg,jumu,Tak1,18w,wb,Gli,sog,sc,RhoGEF64C,rdo,hth,spn-E,stg,ush,pyr,slbo,loco,sls,sna,hh,pk,sdt,vas,net,rst,kirre,upd1,dimm,Lac,CG15721,CG17211,Inx2,Tollo,rho,sano,Duox,grh,CadN2,Irk1,NijA,Tsp2A,scaf,sqa,Pura,AdamTS-B,Dgat2,bark,Kr,bi,ltl,ftz,shd,ptc,if,ovo,CG34417,grn,Alk,rhi,smog,chas,CG34383,sn,htl,fs(1)N,salm,chinmo"
GO:BP,GO:0048729,tissue morphogenesis,1.3399372881551585e-5,64,"ths,dysf,bbg,Cul2,Mmp2,S,bnl,fry,bab2,Nost,Fhos,cv-2,Myo61F,Traf4,Mtl,upd3,form3,Col4a1,tkv,Rac2,vkg,jumu,Tak1,18w,Gli,sog,RhoGEF64C,hth,stg,ush,pyr,loco,sna,hh,pk,sdt,net,upd1,Lac,CG17211,Inx2,Tollo,rho,sano,Duox,grh,CadN2,scaf,sqa,Pura,AdamTS-B,Kr,bi,ltl,shd,ptc,if,ovo,smog,chas,CG34383,sn,htl,salm"
GO:BP,GO:0007155,cell adhesion,2.0142768969431816e-5,33,"Sema2b,ImpL2,Swim,Fas3,plum,Fhos,CG45263,tkv,Zasp52,CG13506,18w,Gli,mesh,Fas1,hh,CG17739,rst,kirre,Lac,CG15080,rho,Ten-a,mspo,CG34353,CadN2,CG10339,NijA,Ddr,Cad96Ca,Cad86C,if,Dscam3,tutl"
GO:BP,GO:0000902,cell morphogenesis,2.0486315122498256e-5,60,"ths,spz,dysc,Sema2b,ImpL2,unc-5,Mmp2,InR,bnl,cnn,fry,Fas3,Ptp52F,tau,Fhos,NetB,Traf4,Mtl,tkv,Rac2,uzip,CG13506,side,wb,RhoGAP100F,RhoGEF64C,Fas1,unc-104,stg,fax,nub,futsch,hh,sff,pk,upd1,rho,Ten-a,CG34353,grh,CadN2,scaf,dpr11,pdm3,Ank2,Pura,Kr,Cad86C,ptc,if,ovo,grn,Dscam3,Alk,acj6,smog,tutl,sn,scro,htl"
GO:BP,GO:0007399,nervous system development,2.0486315122498256e-5,98,"ths,spz,dysc,Sema2b,ImpL2,unc-5,drpr,tinc,Cul2,Mmp2,InR,S,bnl,cnn,fry,Fas3,FucTA,plum,Ptp52F,Nost,tau,dsd,NetB,cac,Mtl,tkv,Rac2,uzip,CG13506,side,18w,Syn2,wb,RhoGAP100F,Gli,sc,RhoGEF64C,Fas1,hth,unc-104,fax,pyr,loco,lbm,nub,futsch,sna,hh,sff,pk,Nrx-1,sdt,net,upd1,dimm,Tollo,rho,CG17221,E(spl)m7-HLH,Ten-a,Archease,CG34353,grh,Gfrl,dpn,CadN2,CG10339,CG32373,Syn,Tsp2A,dpr11,pdm3,Ank2,Pura,Hr3,tll,Kr,Alp4,Fur1,ftz,shd,ptc,if,mtg,ovo,grn,ave,nolo,Dscam3,Alk,melt,acj6,tutl,sn,scro,htl,salm,chinmo"
GO:BP,GO:0030182,neuron differentiation,2.2979010186790333e-5,74,"spz,dysc,Sema2b,ImpL2,unc-5,drpr,tinc,Mmp2,InR,S,cnn,fry,Fas3,plum,Ptp52F,Nost,tau,dsd,NetB,cac,Mtl,tkv,Rac2,uzip,CG13506,side,Syn2,wb,RhoGAP100F,Gli,sc,RhoGEF64C,Fas1,hth,unc-104,fax,nub,futsch,hh,sff,pk,sdt,net,upd1,dimm,Tollo,rho,Ten-a,Archease,CG34353,grh,dpn,CadN2,CG32373,dpr11,pdm3,Ank2,Pura,Kr,Fur1,ptc,if,ovo,grn,ave,Dscam3,Alk,melt,acj6,tutl,sn,scro,salm,chinmo"
GO:BP,GO:0002009,morphogenesis of an epithelium,2.2979010186790333e-5,61,"dysf,bbg,Cul2,Mmp2,S,bnl,fry,bab2,Nost,Fhos,cv-2,Myo61F,Traf4,Mtl,upd3,form3,Col4a1,tkv,Rac2,vkg,jumu,Tak1,18w,Gli,sog,RhoGEF64C,hth,stg,ush,loco,sna,hh,pk,sdt,net,upd1,Lac,CG17211,Inx2,Tollo,rho,sano,Duox,grh,CadN2,scaf,sqa,Pura,AdamTS-B,Kr,bi,ltl,shd,ptc,if,ovo,smog,chas,CG34383,sn,salm"
GO:BP,GO:0022610,biological adhesion,2.2979010186790333e-5,33,"Sema2b,ImpL2,Swim,Fas3,plum,Fhos,CG45263,tkv,Zasp52,CG13506,18w,Gli,mesh,Fas1,hh,CG17739,rst,kirre,Lac,CG15080,rho,Ten-a,mspo,CG34353,CadN2,CG10339,NijA,Ddr,Cad96Ca,Cad86C,if,Dscam3,tutl"
