Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,patr1_T1,patr1_T2,patr1_T3
ths,978.7226516,5.834165888,0.170901956,34.1375021,2.05E-255,1.88E-251,47.92678006,24.99441059,27.93173974,1964.100427,1946.125207,1861.257345
spz,861.178027,3.324133043,0.127585702,26.05411883,1.21E-149,5.54E-146,159.7559335,145.6570824,163.6001899,1801.509332,1417.258518,1479.287107
kon,505.559853,5.019121035,0.198097049,25.33667749,1.26E-141,3.85E-138,32.83871967,36.19880155,20.94880481,1005.463331,1133.285763,804.6236974
CG4393,358.9461205,4.18984187,0.179246285,23.37477665,7.72E-121,1.77E-117,45.26418117,34.47504909,31.92198828,607.4403307,714.7081863,719.8669877
dysf,427.6144384,3.620677931,0.156895163,23.07705261,7.87E-118,1.44E-114,70.11510417,67.22634573,54.86591735,740.1146642,733.8133869,899.5512122
dysc,273.4804476,4.503462755,0.205181064,21.94872503,8.91E-107,1.36E-103,24.850923,22.40878191,21.94636694,528.0958764,527.1298531,516.4508844
bbg,870.7730683,2.309431412,0.108483217,21.2883751,1.45E-100,1.91E-97,283.1230156,268.9053829,326.2028177,1424.297992,1411.17959,1510.929612
Sema2b,825.4787186,2.819297317,0.13520692,20.85172351,1.47E-96,1.68E-93,189.9320543,235.2922101,188.5392433,1329.344792,1296.548387,1713.215625
ImpL2,531.1609996,2.591510672,0.126042389,20.56062799,6.18E-94,6.30E-91,155.3182687,145.6570824,152.6270065,972.9451121,942.2337572,818.1847709
Ac3,350.1639226,2.990756135,0.147832732,20.23067621,5.26E-91,4.82E-88,72.77770306,86.18762273,75.81472216,606.1396019,671.2872758,588.77661
bru3,242.8886821,3.95520763,0.204569098,19.33433582,2.76E-83,2.30E-80,28.40105485,30.16566796,29.92686401,375.9106115,500.2088886,492.7190057
Arc1,905.5635734,2.592873321,0.141398819,18.3373054,4.17E-75,3.19E-72,284.8980815,235.2922101,251.3856577,1874.350142,1239.232785,1548.222564
Patr-1,330.9855054,-2.641761007,0.148602612,-17.77735238,1.06E-70,7.47E-68,531.6322455,578.3189485,600.5324045,92.35174192,82.49972989,100.5779622
GLS,768.433782,2.09099854,0.118267128,17.68030195,5.95E-70,3.89E-67,336.3749934,285.2810312,253.380782,1329.344792,1199.285547,1206.935546
unc-5,295.4688635,2.857382908,0.16420697,17.40110612,8.09E-68,4.95E-65,67.45250527,87.04949896,59.85372802,459.1572521,529.7351077,569.5650892
MRP,1717.045049,1.635221937,0.094186442,17.36154271,1.61E-67,9.24E-65,864.457107,842.9149503,800.0448312,2626.171365,2397.702676,2770.979362
Coq9,357.4089912,2.485660703,0.145923539,17.03399407,4.60E-65,2.48E-62,103.8413568,122.3864243,97.7610891,675.0782262,601.8138191,543.5730315
CG5830,1708.109009,1.748228888,0.103007502,16.97185994,1.33E-64,6.76E-62,769.4910799,765.3460899,815.0082632,2879.813474,2305.650346,2713.3448
CG11155,248.9889151,-3.687398156,0.21886671,-16.84768852,1.09E-63,5.26E-61,363.8885153,462.8275341,557.6372327,40.32259154,25.18412807,44.07348904
CG1941,155.6762642,4.347344284,0.258486131,16.81848179,1.79E-63,8.19E-61,12.4254615,16.37564832,14.96343201,308.272716,318.7094828,263.3108448
PlexB,324.0417839,-2.433062304,0.145077323,-16.7707968,3.99E-63,1.74E-60,508.5563884,545.5676519,586.5665346,98.85538572,100.7365123,103.9682306
drpr,890.2173254,1.828669028,0.10911518,16.75907089,4.86E-63,2.03E-60,427.7908887,390.429931,354.1345575,1473.725685,1410.311172,1284.911719
CG15784,1587.33727,2.13721355,0.127599508,16.74938709,5.72E-63,2.28E-60,579.5590256,524.8826224,659.3885704,3090.531533,2182.33496,2487.326907
rdog,165.5879421,3.596823177,0.215183235,16.71516456,1.02E-62,3.88E-60,23.96339003,21.54690568,30.92442614,296.5661572,322.1831557,298.3436181
tinc,185.1269253,3.693391713,0.224310474,16.46553387,6.49E-61,2.38E-58,36.38885153,25.85628682,16.95855627,286.1603271,369.077739,376.3197911
Lsp1gamma,191.738947,3.784983797,0.232728381,16.26352483,1.79E-59,6.32E-57,38.16391746,24.99441059,13.96586987,364.2040527,410.761813,298.3436181
Cul2,1070.665294,1.671096289,0.103842717,16.09257099,2.88E-58,9.77E-56,509.4439214,534.3632609,489.8030076,1802.810061,1548.389667,1539.181848
CG8108,695.0914066,-1.746650404,0.109433434,-15.96084798,2.39E-57,7.84E-55,1017.112777,1128.195982,1067.391483,308.272716,308.2884643,341.2870177
CG45782,219.8371866,6.780606642,0.425600802,15.93184648,3.81E-57,1.20E-54,1.775065928,5.171257364,4.987810668,502.0813012,392.5250306,412.4826539
CG10433,194.2377743,3.130308446,0.197420379,15.85605532,1.28E-56,3.90E-54,38.16391746,41.37005891,39.90248535,388.9178991,373.41983,283.6524551
toc,133.257498,4.586051127,0.291870435,15.71262649,1.24E-55,3.67E-53,9.762862605,8.618762273,13.96586987,256.2435656,277.0254088,233.9285188
CG31288,154.4379903,4.188769496,0.266726754,15.70434701,1.41E-55,4.05E-53,12.4254615,21.54690568,13.96586987,235.4319055,280.4990816,362.7587175
CG32091,524.7751729,-1.874985612,0.120045742,-15.61892648,5.41E-55,1.50E-52,834.2809863,787.7548718,849.9229379,252.3413793,211.8940431,212.456819
CG13405,131.1684168,4.368377508,0.282459176,15.46551813,5.93E-54,1.60E-51,11.53792853,18.09940077,5.985372802,267.9501245,237.0781712,246.3595029
Mmp2,123.8751517,4.610410521,0.303577885,15.18691165,4.32E-52,1.13E-49,9.762862605,6.895009819,12.96830774,239.3340917,256.1833718,218.1072663
CG7470,202.1755649,-2.823408597,0.186540609,-15.1356244,9.43E-52,2.40E-49,323.9495319,344.7504909,394.0370428,45.52550658,46.0261651,58.76465206
CG14457,191.913327,2.833832186,0.187564154,15.10860221,1.42E-51,3.52E-49,48.81431303,52.57444987,39.90248535,292.6639709,337.8146834,379.7100594
Tsp29Fb,233.7275432,2.438206579,0.162650987,14.99041982,8.48E-51,2.05E-48,84.31563159,68.08822196,65.83910082,407.1281017,414.2354859,362.7587175
InR,1645.612092,1.410914174,0.095953786,14.70410111,6.07E-49,1.43E-46,884.8703652,947.2019738,865.883932,2245.057839,2321.281874,2609.376569
Swim,616.9383408,2.096562353,0.142690478,14.69307826,7.14E-49,1.64E-46,264.4848233,183.5796364,253.380782,1155.047138,893.6023374,951.5353275
twz,117.0449227,4.484443915,0.305548315,14.67670967,9.09E-49,2.03E-46,5.325197785,15.51377209,8.978059203,235.4319055,233.6044983,203.4161033
S,1730.967906,1.305644549,0.089112789,14.65159567,1.32E-48,2.87E-46,994.9244528,1008.395186,986.5889502,2571.540758,2306.518764,2517.839323
Wsck,276.5011792,-2.281708601,0.15717445,-14.51704529,9.45E-48,2.01E-45,459.7420754,424.9049801,488.8054455,111.8626733,79.89447526,93.7974254
bnl,132.9985464,3.253353498,0.225537105,14.42491466,3.61E-47,7.52E-45,25.73845596,24.13253437,25.93661548,260.1457519,251.8412807,210.19664
kek1,119.2166906,3.908610146,0.272129475,14.36305329,8.83E-47,1.80E-44,13.31299446,12.92814341,18.95368054,188.6056701,262.2622992,219.2373557
AOX1,784.7460708,1.755388672,0.124357475,14.11566677,3.04E-45,6.06E-43,420.690625,311.1373181,343.161374,1311.13459,1095.075362,1227.277156
Cyp6a9,125.9831346,-3.873337167,0.276328639,-14.01713983,1.22E-44,2.39E-42,243.1840322,193.9221511,270.3393382,15.60874511,14.76310956,18.0814314
CG13375,134.4148078,-5.529366343,0.39555146,-13.97887989,2.10E-44,4.01E-42,284.0105485,274.9385165,230.4368529,6.503643798,6.078927466,4.52035785
PCB,272.33888,-2.052075615,0.147824444,-13.88184222,8.16E-44,1.53E-41,441.1038832,456.7944005,417.978534,102.757572,98.99967587,116.3992147
cnn,1249.433292,1.338555216,0.097693168,13.70162558,9.93E-43,1.82E-40,704.7011735,770.5173472,647.4178248,1834.027551,1738.573255,1801.362603
CG42663,268.4089004,2.061776516,0.152272199,13.54007189,9.07E-42,1.63E-39,94.0784942,111.1820333,105.7415862,478.6681835,437.6827775,383.1003278
CG18135,345.6704306,-1.874243161,0.138605016,-13.52218855,1.16E-41,2.04E-39,568.90863,522.2969938,535.6908658,172.996925,132.867986,141.2611828
MED20,149.9227809,2.829593521,0.210151112,13.46456602,2.53E-41,4.37E-39,26.62598892,40.50818268,43.89273388,300.4683434,240.551844,247.4895923
CG42450,100.1404965,3.926129121,0.292097695,13.44115063,3.47E-41,5.89E-39,15.97559335,14.65189586,5.985372802,172.996925,209.2887885,181.9444035
fry,3391.166935,1.305994939,0.097482978,13.39715887,6.28E-41,1.05E-38,2117.653652,1759.951256,1981.158398,5265.350018,4657.326857,4565.561429
cd,105.2283237,5.596640218,0.421825204,13.2676762,3.56E-40,5.84E-38,4.437664821,3.447504909,4.987810668,202.9136865,199.7361882,215.8470874
Fas3,130.8099671,3.005068728,0.228033188,13.17820775,1.17E-39,1.88E-37,24.850923,25.85628682,36.90979895,193.8085852,234.4729165,268.9612921
CG15347,322.5861417,1.849968441,0.140404077,13.17603079,1.21E-39,1.91E-37,152.6556698,137.0383201,129.6830774,518.990775,452.4458871,544.703121
CG32521,358.0612107,-1.70854744,0.130308416,-13.1115663,2.83E-39,4.39E-37,513.8815862,552.4626617,578.5860375,167.79401,164.9994598,170.6435089
bab2,145.7665996,2.829213518,0.21610712,13.09171819,3.67E-39,5.61E-37,38.16391746,31.02754418,38.90492321,292.6639709,272.6833177,201.1559243
FucTA,673.6143774,1.455688366,0.1112974,13.07926656,4.33E-39,6.50E-37,327.4996638,380.0874163,372.0906759,1050.988838,989.9967587,921.022912
CG6830,115.5988933,5.452818266,0.417100962,13.0731376,4.69E-39,6.93E-37,6.212730749,4.309381137,4.987810668,258.8450231,281.3674998,137.8709144
Ugt37A3,117.1294616,6.106209265,0.467792343,13.05324757,6.09E-39,8.86E-37,1.775065928,3.447504909,4.987810668,257.5442944,232.7360801,202.2860138
CG13659,115.5502307,3.00680464,0.230431841,13.04856408,6.48E-39,9.28E-37,23.07585707,25.85628682,27.93173974,221.1238891,214.4992977,180.814314
plum,1021.553852,1.356033041,0.104074802,13.02940784,8.33E-39,1.17E-36,502.3436577,610.2083689,609.5104637,1478.9286,1446.784737,1481.547285
CG9005,342.7560274,-1.777902434,0.136782211,-12.99805302,1.25E-38,1.74E-36,583.9966904,506.7832217,500.7761911,153.4859936,147.6310956,163.8629721
Ptp52F,204.2627207,2.267616128,0.174493593,12.99541194,1.30E-38,1.78E-36,87.86576345,62.91696459,59.85372802,327.7836474,367.3409026,319.8153179
sick,301.0006319,-2.108782438,0.162723282,-12.95931607,2.08E-38,2.81E-36,504.1187236,447.313762,514.742061,91.05101317,100.7365123,148.0417196
Tmhs,235.9230412,-2.128958162,0.165747894,-12.84455636,9.23E-38,1.23E-35,397.6147679,343.0267385,410.9955991,80.64518309,78.15763884,105.09832
AsnS,439.6406343,1.60423016,0.124933387,12.84068409,9.70E-38,1.27E-35,242.2964992,205.1265421,204.5002374,693.2884288,615.7085104,676.9235881
CG43349,128.731133,2.661108523,0.211038693,12.60957638,1.87E-36,2.41E-34,34.6137856,30.16566796,40.90004748,247.1384643,212.7624613,206.8063717
Nost,175.1454183,2.49853194,0.198449975,12.59023558,2.39E-36,3.04E-34,63.01484045,50.85069741,43.89273388,319.9792748,336.9462652,236.1886977
sol,504.4212565,-1.579225921,0.125797235,-12.55374111,3.79E-36,4.76E-34,775.7038106,730.0091645,763.1350323,214.6202453,249.2360261,293.8232603
tau,106.5362799,3.177021801,0.255562457,12.43148871,1.76E-35,2.18E-33,32.83871967,14.65189586,15.96099414,187.3049414,199.7361882,188.7249403
rols,367.6982153,2.031945142,0.16401329,12.38890543,3.00E-35,3.67E-33,116.2668183,123.2483005,195.5221782,556.7119091,571.4191818,643.0209042
CG7992,155.183516,-2.498084254,0.20173579,-12.38295026,3.23E-35,3.90E-33,275.1352189,232.7065814,281.3125217,58.53279418,38.21040121,45.2035785
dsd,848.8124585,1.269072811,0.10306944,12.31279424,7.73E-35,9.20E-33,531.6322455,508.5069741,451.8956466,1233.090864,1161.943564,1205.805457
Fhos,271.992606,1.879834863,0.152869261,12.29701018,9.40E-35,1.10E-32,119.8169502,134.4526915,93.77084057,395.4215429,445.4985414,442.9950693
boi,709.1596129,-1.342374933,0.111074541,-12.08535204,1.26E-33,1.46E-31,1023.325508,996.3289188,1033.474371,352.4974938,402.9460491,446.3853377
GILT1,128.3521811,-2.639773742,0.220304784,-11.98237142,4.40E-33,5.04E-31,207.6827136,199.0934085,256.3734684,40.32259154,33.86831017,32.77259442
pyd3,85.18804214,-4.752421739,0.397399558,-11.95879976,5.84E-33,6.61E-31,147.330472,165.4802356,179.5611841,6.503643798,4.342091047,7.910626238
cv-2,382.9802877,1.479117714,0.123781221,11.94945159,6.54E-33,7.31E-31,188.1569884,212.0215519,206.4953617,551.508994,553.1823994,586.5164311
Slob,75.17253254,4.175226548,0.350542504,11.91075691,1.04E-32,1.15E-30,5.325197785,9.480638501,8.978059203,117.0655884,151.9731866,158.2125248
NetB,85.22801596,5.64266141,0.47462722,11.88861737,1.36E-32,1.48E-30,1.775065928,3.447504909,4.987810668,169.0947387,180.6309875,151.431988
CG2909,127.1747336,2.362206254,0.198851731,11.87923405,1.52E-32,1.64E-30,41.71404931,39.64630646,42.89517175,218.5224316,206.6835338,213.5869084
side-V,131.4866273,2.422509657,0.204288819,11.85825866,1.95E-32,2.08E-30,39.05145042,40.50818268,44.89029602,223.7253466,247.4991897,193.2452981
Exn,506.7862345,-1.833118045,0.154647243,-11.85354496,2.06E-32,2.17E-30,775.7038106,798.0973865,801.0423934,167.79401,199.7361882,298.3436181
stx,741.1241274,-1.276692675,0.107899376,-11.8322526,2.66E-32,2.77E-30,1000.249651,1039.42273,1108.291531,405.827373,419.4459951,473.5074848
zormin,341.9059189,1.579715191,0.134608557,11.73562238,8.37E-32,8.62E-30,183.7193236,165.4802356,165.5953142,455.2550658,536.6824534,544.703121
