Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,esg_T1,esg_T2,esg_T3
mesh,1290.729101,2.82622667,0.199809162,14.14462998,2.02E-45,1.96E-41,286.2429044,380.3882774,412.1174136,350.8371369,2365.183809,2083.750974,3156.583194
bark,208.7236472,4.079440075,0.313999938,12.99184994,1.36E-38,6.60E-35,17.37903348,25.15795485,31.54965846,32.92646269,353.0741434,415.3882661,585.5900113
CG5819,505.2987599,2.888358263,0.224573216,12.86154385,7.41E-38,2.40E-34,106.3187931,151.9540473,151.8327313,129.4350602,925.0129606,814.6036284,1257.934098
CG32521,317.6678684,-2.882067531,0.227685492,-12.65810794,1.01E-36,2.45E-33,529.5493731,487.0580059,499.8649012,500.7093119,94.97900935,52.77473873,58.73973879
Pvf1,220.0971535,3.812718149,0.310355641,12.28499708,1.09E-34,2.12E-31,38.84725131,27.17059124,44.3667072,22.7079053,440.826489,369.4231711,597.337959
Nepl4,126.4202671,-3.31348949,0.270094343,-12.26789665,1.35E-34,2.18E-31,193.2139605,222.3963209,221.833536,185.0694282,24.77713287,19.57772566,18.07376578
GstZ2,210.0346695,2.656296098,0.218587071,12.152119,5.59E-34,7.75E-31,53.15939653,61.38540984,62.11339008,80.61306382,380.9484179,458.7997447,373.2232634
esg,1004.511795,-1.610687023,0.133708426,-12.04626418,2.03E-33,2.46E-30,1292.182254,1429.978154,1554.806606,1367.015899,522.3845514,418.793088,446.4220148
CG15347,1024.20108,1.316689971,0.121486618,10.83814817,2.27E-27,2.45E-24,578.6195853,671.2142355,568.879779,681.2371591,1653.873619,1510.038492,1505.54469
CG44013,361.0774747,2.753200855,0.26245263,10.49027725,9.57E-26,8.89E-23,144.1437483,90.56863747,92.67712171,89.69622594,820.7425264,525.1937709,764.5202925
Cht4,389.9257546,3.372450581,0.321631604,10.48544527,1.01E-25,8.89E-23,61.33776523,79.49913733,96.62082902,73.80069223,472.8302857,824.818094,1120.573478
Jabba,609.613753,-1.404723989,0.134817499,-10.41944851,2.02E-25,1.63E-22,833.171311,891.59792,731.5577054,868.5773778,339.6531965,308.1363777,294.6023822
wake,756.5114889,-1.136502157,0.111253933,-10.21538854,1.69E-24,1.17E-21,983.4488358,932.8569659,948.4616073,1084.302478,444.9560112,459.6509502,441.9035733
CG15210,288.4487263,2.24910475,0.220136815,10.21684968,1.67E-24,1.17E-21,81.78368697,134.846638,106.4800973,119.2165028,536.8378789,457.0973338,582.8789464
E(spl)m3-HLH,1024.217318,-1.322627798,0.132237169,-10.00193677,1.49E-23,9.66E-21,1407.701712,1205.569197,1459.171704,1444.222777,493.4778964,601.8022626,557.5756743
Cirl,1957.98121,-0.992516653,0.099918,-9.933311889,2.98E-23,1.72E-20,2381.949883,2349.752983,2590.029774,2631.846225,1310.090901,1282.766633,1159.432075
CG9021,213.6255664,-4.426399067,0.445671299,-9.931981433,3.02E-23,1.72E-20,401.7623623,341.1418678,543.2456815,158.9553371,13.42094697,17.87531473,18.97745407
Oatp33Eb,505.8279365,3.510219543,0.355025376,9.88723563,4.73E-23,2.55E-20,42.93643566,139.878229,100.5645363,87.42543541,898.1710666,938.8796261,1332.940226
Blimp-1,1269.621961,-0.999746298,0.102931803,-9.712705576,2.66E-22,1.36E-19,1615.227818,1488.344609,1685.934874,1674.708016,759.8320748,856.3126961,806.9936421
CG10512,388.7823111,-1.42915166,0.147428146,-9.693886117,3.20E-22,1.55E-19,503.991971,530.3296883,542.2597547,552.9374941,177.5694523,226.4206533,187.9671641
CG10000,59.69540906,3.406887336,0.352318773,9.6699001,4.05E-22,1.87E-19,11.24525696,13.08213652,8.873341441,13.62474318,115.6266201,122.5735867,132.8421785
Traf-like,172.7991725,2.907089339,0.31331992,9.2783419,1.72E-20,7.59E-18,31.6911787,51.3222279,36.47929259,63.58213485,263.2570368,357.5062946,405.7560418
Tektin-C,141.1910682,-4.637868006,0.506681376,-9.153421107,5.52E-20,2.33E-17,303.6219379,138.8719108,332.2573406,185.0694282,3.097141609,12.76808195,12.65163605
NPFR,132.5797733,2.486803835,0.272910947,9.112143949,8.08E-20,3.26E-17,32.71347479,41.25904596,62.11339008,42.00962481,263.2570368,255.361639,231.344202
CG43218,173.8372698,-2.698482196,0.297106476,-9.082542497,1.06E-19,4.12E-17,213.6598822,356.2366407,290.8484139,230.4852388,30.97141609,47.66750595,46.99179103
CG43066,149.5391376,2.59462478,0.286591484,9.05339105,1.39E-19,5.17E-17,61.33776523,55.34750067,39.43707307,32.92646269,241.5770455,325.160487,290.9876291
CG10650,1121.293219,1.67391467,0.186062279,8.996528918,2.33E-19,8.37E-17,448.7879823,720.523827,566.9079254,576.7807947,1964.620161,1611.331942,1960.099899
fus,955.8113847,-1.120835,0.125334763,-8.942730438,3.80E-19,1.32E-16,1191.997238,1110.975286,1304.381192,1368.151294,562.6473923,610.3143172,542.2129734
CG9380,790.7857167,2.73669414,0.30794784,8.88687559,6.29E-19,2.10E-16,114.4971618,256.6111395,230.7068775,321.31686,1666.262186,1376.399234,1569.706558
nrv2,476.4478006,-1.379877068,0.156448214,-8.820024422,1.14E-18,3.70E-16,635.8681662,687.3153266,564.9360717,700.5388786,276.6779837,251.1056117,218.6925659
CG32137,550.3304545,2.02498965,0.235081876,8.613976062,7.06E-18,2.21E-15,231.0389157,183.1499113,295.778048,240.7037962,784.6092076,884.4024764,1232.630826
Pka-R2,591.8579605,2.166264025,0.253141326,8.557528169,1.15E-17,3.50E-15,261.7077983,143.9035018,295.778048,247.5161678,960.1138988,1024.851378,1209.134931
Fur1,361.3352841,2.136459272,0.251454637,8.496400375,1.96E-17,5.75E-15,153.3444131,109.6886832,173.5231215,152.1429655,492.4455159,622.2311937,825.9710962
M6,149.675453,1.737076603,0.206814999,8.399180965,4.50E-17,1.28E-14,81.78368697,69.43595539,78.87414614,69.25911117,216.7999126,260.4688718,271.1064867
CG30340,42.6262987,3.3635611,0.404768733,8.309834292,9.58E-17,2.66E-14,9.200664784,7.044227359,7.887414614,10.21855739,84.65520398,95.3350119,84.04301088
LanB1,926.7453541,-0.991706285,0.119659723,-8.287720031,1.15E-16,3.11E-14,1129.637176,1144.183787,1140.717339,1295.485998,651.4321185,575.4148932,550.346168
Tsp2A,702.1074108,1.532217407,0.18643517,8.218499776,2.06E-16,5.40E-14,299.5327535,382.4009138,431.8359501,437.1271771,1144.910015,961.0109681,1257.934098
Dscam1,796.4357294,-1.580478129,0.193681783,-8.160179571,3.35E-16,8.54E-14,1378.055125,853.3578286,1194.943314,1030.938901,357.2036656,357.5062946,403.0449769
CG31454,191.0419388,1.751036824,0.215158739,8.138348606,4.01E-16,9.80E-14,80.76139089,107.6760468,78.87414614,112.4041312,348.9446213,300.4755286,308.1577066
udt,93.91035349,-2.10470566,0.258647836,-8.137341062,4.04E-16,9.80E-14,142.0991561,145.9161381,142.9593899,128.299665,39.23046038,27.23857483,31.62909012
CG11686,361.9883749,1.685741995,0.21352018,7.895000798,2.90E-15,6.87E-13,164.58967,168.0551384,251.4113408,157.8199419,635.9464104,552.4323457,603.6637771
phyl,124.0529313,2.960104956,0.381353983,7.762092678,8.35E-15,1.93E-12,21.46821783,44.27800054,20.70446336,40.87422954,187.8932576,320.9044597,232.2478903
Syx4,172.7249774,1.979617519,0.255380321,7.751644733,9.07E-15,2.05E-12,74.62761436,84.5307283,50.28226816,96.50859754,311.778922,287.7074466,303.6392651
Tep2,464.6351598,-2.393538655,0.310169287,-7.716878355,1.19E-14,2.63E-12,978.3373554,646.0562806,721.6984372,500.7093119,88.78472613,181.3067637,135.5532434
nub,356.0602131,2.169134316,0.283448894,7.652646963,1.97E-14,4.16E-12,81.78368697,156.9856383,141.973463,189.6110093,592.5864279,598.3974407,731.0838258
CG10283,462.3963367,-1.520269219,0.198666385,-7.652372706,1.97E-14,4.16E-12,765.6997693,567.5634615,650.7117056,582.457771,199.2494435,274.0881592,197.004047
CalpB,839.8443361,-1.1259762,0.147324707,-7.642819882,2.13E-14,4.39E-12,1111.235847,974.1160119,1054.941705,1235.310048,481.08933,451.990101,570.2273104
Ssk,861.904813,1.261729333,0.165308779,7.632560986,2.30E-14,4.62E-12,421.1859879,580.645598,564.9360717,589.2701426,1348.288981,1149.978581,1379.028329
CG32425,1070.305076,-0.724216778,0.094909176,-7.630629685,2.34E-14,4.62E-12,1286.048478,1296.137834,1310.296753,1260.288744,756.7349332,743.1023695,839.5264205
fru,1139.628859,-2.124820827,0.278794779,-7.621451281,2.51E-14,4.87E-12,1888.180873,1405.826517,1971.853653,1541.86677,267.3865589,579.6709205,322.6167192
Rbfox1,1069.97659,-1.1820456,0.156300984,-7.562624185,3.95E-14,7.51E-12,1571.269086,1419.914972,1183.112192,1455.57673,580.1978614,715.8637947,563.9014924
NaPi-III,73.02303325,2.888478715,0.382685956,7.547908852,4.42E-14,8.25E-12,11.24525696,17.1074093,22.67631701,27.24948636,114.5942395,172.7947091,145.4938145
Ptth,151.9952345,-3.214681497,0.427538718,-7.519041812,5.52E-14,1.01E-11,205.4815135,275.7311852,181.4105361,321.31686,44.39236306,22.98254751,12.65163605
Pepck2,300.8139504,1.436598985,0.191322156,7.508795732,5.97E-14,1.07E-11,213.6598822,172.0804112,147.889024,161.2261276,490.3807548,504.7648398,415.696613
Cyp6a17,244.9841138,-2.043392267,0.272489036,-7.498988944,6.43E-14,1.13E-11,348.6029657,380.3882774,305.6373163,416.6900623,64.00759326,75.75728624,123.8052956
mgl,1048.931339,-1.445450183,0.193073862,-7.486514058,7.07E-14,1.23E-11,1711.32365,1240.790333,1541.989557,1263.69493,445.9883917,643.5113303,495.2211824
SP2353,117.3674869,2.881315684,0.385514287,7.473953056,7.78E-14,1.32E-11,28.62429044,16.10109111,39.43707307,42.00962481,172.4075496,297.0707067,225.9220723
Hydr2,520.7926651,0.821382242,0.110272764,7.448641112,9.43E-14,1.58E-11,397.6731779,398.5020049,401.2722185,370.1388564,680.3387735,724.3758493,673.2477753
GAPcenA,771.3534692,-0.882356348,0.118650962,-7.436571354,1.03E-13,1.70E-11,922.1110706,1042.545649,901.1371196,971.8983469,549.2264454,535.4082364,477.1474166
GramD1B,651.6674839,0.980306814,0.132092229,7.42138144,1.16E-13,1.87E-11,480.479161,485.0453696,458.4559744,415.554667,818.6777653,903.9802021,999.4792477
