Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,rad21_T1,rad21_T2,rad21_T3,rad21_T4
Cyp4p2,729.6230213,7.841472271,0.328211778,23.89150179,3.75E-126,3.57E-122,1.672628617,1.593044764,7.951967508,9.681029548,1802.061142,1527.977406,1276.960199,1209.086753
Dscam4,746.259369,3.218329952,0.156183275,20.60611134,2.42E-94,1.15E-90,165.5902331,110.7166111,135.8461116,170.6281458,1352.932057,1367.903583,1310.839752,1355.618459
CG6912,387.1571637,-6.050364822,0.342926846,-17.64331048,1.15E-69,3.63E-66,637.2715032,761.4753971,758.5293451,875.5281097,38.81362459,7.276082888,11.95748918,6.405757632
Tektin-C,280.7400865,-5.36835438,0.335255698,-16.01271631,1.04E-57,2.47E-54,555.312701,574.2926374,574.0878765,479.816027,11.08960703,33.95505348,10.96103175,6.405757632
vtd,414.2398088,-2.923193746,0.182928729,-15.97995989,1.76E-57,3.35E-54,752.6828778,685.8057709,837.8281321,639.5530145,121.9856773,92.16371658,104.6280303,79.27125069
CG43218,692.2317211,5.427654772,0.352394461,15.40221365,1.58E-53,2.50E-50,38.4704582,31.0643729,21.20524669,36.90892515,2062.666907,1775.364225,794.6748019,777.4988326
CG44098,100.8760803,5.576785071,0.397860746,14.0169271,1.23E-44,1.67E-41,8.363143087,6.372179056,2.42976785,3.025321734,221.7921405,240.1107353,174.3800506,150.5353043
CG9270,197.1143728,2.972715807,0.228015607,13.03733482,7.50E-39,8.91E-36,23.41680064,56.55308912,47.49091706,47.19501904,282.7849792,356.5280615,413.0316055,349.9145106
Cyp4p1,272.5845645,3.420246814,0.284785409,12.00990888,3.15E-33,3.33E-30,45.16097267,35.04698481,61.18597221,39.93424688,731.9140638,526.3033289,412.0351481,329.0957983
CG31705,552.6846702,7.402569859,0.617207127,11.99365584,3.84E-33,3.64E-30,15.05365756,3.186089528,5.301311672,4.840514774,1519.276163,1714.730201,505.7021467,653.3872784
AstA-R1,133.9557387,-6.994246691,0.631618124,-11.07353704,1.69E-28,1.46E-25,259.2574357,237.3636698,424.1049338,140.9799928,5.544803513,0,1.992914864,2.402159112
hig,143.1019613,5.891477367,0.532456798,11.06470495,1.86E-28,1.47E-25,8.363143087,7.168701438,4.417759727,0.605064347,426.9498705,402.6099198,126.5500938,168.1511378
ringer,260.0906856,3.523686472,0.32571732,10.81823488,2.82E-27,2.06E-24,26.76205788,19.11653717,65.38284395,49.01021208,521.2115303,538.4301337,462.8544771,397.9576929
phr,104.2180676,2.195116706,0.207267341,10.59075053,3.29E-26,2.23E-23,45.16097267,29.47132813,41.52694143,36.3038608,149.7096949,167.3499064,180.8570239,183.3648122
CG6654,209.4314377,-2.591073742,0.246936248,-10.49288538,9.31E-26,5.90E-23,411.4666399,317.015908,283.8410624,436.8564583,44.35842811,50.93258022,75.73076482,55.24965957
MtnA,348.0178669,3.397833034,0.336398028,10.10063303,5.49E-24,3.26E-21,102.0303457,58.14613388,33.79586191,52.03553382,975.8854184,601.4895187,517.1614071,443.598716
tap,459.9624018,1.963548057,0.20654751,9.506520123,1.97E-21,1.10E-18,249.221664,174.4384016,161.24823,172.4433388,809.541313,552.9822995,668.6229368,891.2010305
sna,108.765713,-3.341897407,0.358629899,-9.318513087,1.18E-20,6.23E-18,235.840635,265.2419532,154.4007024,144.0053145,16.63441054,7.276082888,25.90789323,20.8187123
CG18446,295.7071176,-4.118577754,0.458579203,-8.981169936,2.68E-19,1.34E-16,886.4931672,420.5638177,712.1428679,212.98265,44.35842811,33.95505348,42.34944085,12.81151526
CG13991,30.46580501,4.456337149,0.496685484,8.972150982,2.91E-19,1.38E-16,5.017885852,0.796522382,3.092431809,1.81519304,88.71685621,38.8057754,47.82995673,57.65181869
CG11426,47.19146881,4.034141347,0.458086008,8.80651511,1.29E-18,5.84E-16,8.363143087,2.389567146,6.184863617,4.235450427,144.1648913,97.01443851,50.32110031,64.85829602
CG7213,33.52632457,9.168215939,1.054300641,8.69601666,3.44E-18,1.48E-15,0,0,0,0,49.90323162,77.6115508,74.23607867,66.45973543
CG12934,707.9362472,6.745339423,0.783498181,8.609259838,7.35E-18,3.04E-15,13.38102894,11.15131335,18.33370287,9.075965201,2517.340795,2398.681992,359.2229042,336.3022757
Tsp66E,121.8366464,2.948422528,0.343949475,8.572254761,1.01E-17,4.02E-15,38.4704582,29.47132813,23.41412655,21.17725214,310.5089968,211.0064037,103.6315729,237.0130324
Sec31,942.6541467,1.205130948,0.140670067,8.567074504,1.06E-17,4.03E-15,622.2178456,499.4195335,654.2702155,502.8084721,1330.752843,1416.410802,1303.86455,1211.488912
Cyp4p3,26.97482169,5.350496793,0.62634353,8.542431642,1.31E-17,4.80E-15,1.672628617,0.796522382,1.325327918,1.210128693,60.99283865,77.6115508,39.36006856,32.82950786
Cadps,265.8802694,1.617798147,0.190235374,8.504192024,1.83E-17,6.44E-15,162.2449759,97.1757306,132.5327918,137.9546711,371.5018354,356.5280615,466.3420781,402.7620111
CG33099,149.5977094,2.542206326,0.303951885,8.363844572,6.07E-17,2.06E-14,55.19674437,42.21568624,45.94470116,31.46334603,293.8745862,358.9534225,224.2029222,144.9302664
unc-104,11466.2235,0.959003654,0.115738417,8.285957946,1.17E-16,3.84E-14,7101.981109,7509.613017,8581.719157,7955.386031,14682.6397,17254.01789,14260.30231,14384.12876
lz,54.38983261,-5.856123341,0.711211159,-8.234014992,1.81E-16,5.73E-14,138.8281752,86.02441725,132.3119038,64.13682075,5.544803513,7.276082888,0.996457432,0
CG17684,20.90220679,5.490230616,0.670771518,8.18494893,2.72E-16,8.24E-14,1.672628617,0.796522382,0.883551945,0.605064347,55.44803513,31.52969251,41.85121214,34.43094727
Spn42De,40.63411091,3.342923182,0.408535667,8.182696029,2.78E-16,8.24E-14,6.690514469,7.965223819,5.080423686,9.681029548,88.71685621,70.33546792,94.16522731,42.43814431
Gfat1,121.7909221,-2.574907556,0.31813234,-8.093825219,5.78E-16,1.66E-13,142.1734325,153.7288197,303.0583172,226.89913,49.90323162,33.95505348,33.38132397,31.22806846
Hk,884.836468,2.537041472,0.316810748,8.008066293,1.17E-15,3.26E-13,240.8585209,230.1949684,301.5121013,263.2029908,2034.942889,1755.961337,584.9205125,1667.098424
